rep,query,seconds,rows,error
1,describe,0.2882,20,
1,walk,0.6766,150,
1,similar_to,0.6382,1,
1,nearest_to,0.0512,5,
1,show_relations,0.4391,50,
1,show_layers,0.0285,30,
1,show_features,0.0533,10,
1,infer_1tok,0.0262,-1,"ERROR:  remote inference error: server returned HTTP 503: {""error"":""vindex does not contain model weights. Rebuild with --include-weights""}"
2,describe,0.2874,20,
2,walk,0.6761,150,
2,similar_to,0.6401,1,
2,nearest_to,0.0513,5,
2,show_relations,0.4563,50,
2,show_layers,0.0277,30,
2,show_features,0.0573,10,
2,infer_1tok,0.0286,-1,"ERROR:  remote inference error: server returned HTTP 503: {""error"":""vindex does not contain model weights. Rebuild with --include-weights""}"
3,describe,0.2879,20,
3,walk,0.6774,150,
3,similar_to,0.6386,1,
3,nearest_to,0.0514,5,
3,show_relations,0.4443,50,
3,show_layers,0.0289,30,
3,show_features,0.0517,10,
3,infer_1tok,0.0266,-1,"ERROR:  remote inference error: server returned HTTP 503: {""error"":""vindex does not contain model weights. Rebuild with --include-weights""}"
4,describe,0.2864,20,
4,walk,0.6744,150,
4,similar_to,0.6407,1,
4,nearest_to,0.0514,5,
4,show_relations,0.4585,50,
4,show_layers,0.0283,30,
4,show_features,0.0579,10,
4,infer_1tok,0.0285,-1,"ERROR:  remote inference error: server returned HTTP 503: {""error"":""vindex does not contain model weights. Rebuild with --include-weights""}"
5,describe,0.2884,20,
5,walk,0.6767,150,
5,similar_to,0.638,1,
5,nearest_to,0.0511,5,
5,show_relations,0.4371,50,
5,show_layers,0.0291,30,
5,show_features,0.055,10,
5,infer_1tok,0.027,-1,"ERROR:  remote inference error: server returned HTTP 503: {""error"":""vindex does not contain model weights. Rebuild with --include-weights""}"
