rep,concurrency,wall_span_s,p50_s,max_s,qps,errors
1,1,0.1021,0.1009,0.1009,9.792,0
1,2,0.0953,0.0935,0.0939,20.979,0
1,4,0.1028,0.0986,0.1009,38.916,0
1,8,0.1274,0.1049,0.1248,62.808,0
1,16,0.1306,0.1082,0.1269,122.544,0
2,1,0.0994,0.0982,0.0982,10.06,0
2,2,0.0949,0.093,0.0934,21.079,0
2,4,0.1021,0.1,0.1007,39.174,0
2,8,0.1167,0.1103,0.1148,68.531,0
2,16,0.1581,0.1118,0.1388,101.186,0
3,1,0.1004,0.0994,0.0994,9.956,0
3,2,0.0944,0.0929,0.0937,21.194,0
3,4,0.1019,0.0983,0.1002,39.244,0
3,8,0.1499,0.109,0.1435,53.354,0
3,16,0.1438,0.1103,0.1289,111.289,0
